dimension,clicks,impressions,ctr_percent,position
https://ksrfp.com/labor-management/4426/,69,9137,0.76,2.45
https://ksrfp.com/labor-management/3120/#%E4%BA%8B%E6%A5%AD%E4%B8%BB%E3%81%8C%E5%8A%B4%E7%81%BD%E3%81%AB%E7%89%B9%E5%88%A5%E5%8A%A0%E5%85%A5%E3%81%99%E3%82%8B%E5%A0%B4%E5%90%88,0,1154,0.0,3.06
https://ksrfp.com/labor-management/3120/#%E7%A4%BE%E4%BC%9A%E4%BF%9D%E9%99%BA%EF%BC%88%E5%81%A5%E5%BA%B7%E4%BF%9D%E9%99%BA%E3%83%BB%E5%8E%9A%E7%94%9F%E5%B9%B4%E9%87%91%E4%BF%9D%E9%99%BA%EF%BC%89,0,1154,0.0,3.06
https://ksrfp.com/labor-management/3120/#%E9%9B%87%E7%94%A8%E4%BF%9D%E9%99%BA,0,1154,0.0,3.06
https://ksrfp.com/labor-management/254/,2983,131711,2.26,4.47
https://ksrfp.com/labor-management/3108/#%E5%BD%B9%E5%93%A1%E3%82%84%E7%A4%BE%E9%95%B7%E3%81%AE%E5%AE%B6%E6%97%8F%E3%81%AF%E9%9B%87%E7%94%A8%E4%BF%9D%E9%99%BA%E3%81%AE%E5%AF%BE%E8%B1%A1%E5%A4%96,4,5890,0.07,5.06
https://ksrfp.com/labor-management/3108/#%E9%9B%87%E7%94%A8%E4%BF%9D%E9%99%BA%E6%96%99%E3%81%AE%E7%AE%97%E5%AE%9A%E6%96%B9%E6%B3%95%E3%81%AF,0,4287,0.0,5.07
https://ksrfp.com/labor-management/3108/#%E7%A4%BE%E9%95%B7%E3%81%AE%E5%AE%B6%E6%97%8F%E3%81%AF%E9%9B%87%E7%94%A8%E4%BF%9D%E9%99%BA%E3%81%AB%E5%8A%A0%E5%85%A5%E3%81%A7%E3%81%8D%E3%82%8B%EF%BC%9F,1,6950,0.01,5.08
https://ksrfp.com/labor-management/3108/#%E4%BD%BF%E7%94%A8%E4%BA%BA%E5%85%BC%E5%8B%99%E5%BD%B9%E5%93%A1%E3%81%AF%E5%8A%A0%E5%85%A5%E3%81%A7%E3%81%8D%E3%82%8B,1,3375,0.03,5.1
https://ksrfp.com/labor-management/2600/,4,3609,0.11,5.33
https://ksrfp.com/life-planning/343/#%E5%8F%8E%E5%85%A5%E8%A6%81%E4%BB%B6,1,2815,0.04,5.51
https://ksrfp.com/life-planning/343/#%E9%81%BA%E6%97%8F%E5%B9%B4%E9%87%91%E3%81%AF%E9%9D%9E%E8%AA%B2%E7%A8%8E,1,2815,0.04,5.51
https://ksrfp.com/life-planning/343/#%E8%A2%AB%E6%89%B6%E9%A4%8A%E8%80%85%E3%81%AE%E7%AF%84%E5%9B%B2,0,2815,0.0,5.51
https://ksrfp.com/pension/254/#%E5%B9%B4%E9%87%91%E5%8F%97%E7%B5%A6%E9%96%8B%E5%A7%8B%E5%B9%B4%E9%BD%A2%E3%81%AE%E4%B8%8A%E9%99%90%E5%BC%95%E3%81%8D%E4%B8%8A%E3%81%92,0,2256,0.0,5.87
https://ksrfp.com/pension/254/,1435,46796,3.07,5.97
https://ksrfp.com/labor-management/4022/,243,22559,1.08,6.01
https://ksrfp.com/pension/254/#%E3%83%91%E3%83%BC%E3%83%88%E3%81%A7%E7%A4%BE%E4%BC%9A%E4%BF%9D%E9%99%BA%E3%81%AB%E5%8A%A0%E5%85%A5%E3%81%99%E3%82%8B%E3%81%A8%E6%90%8D%EF%BC%9F,2,2617,0.08,6.05
https://ksrfp.com/pension/254/#%E7%A4%BE%E4%BC%9A%E4%BF%9D%E9%99%BA%E3%81%AB%E5%8A%A0%E5%85%A5%E3%81%99%E3%82%8B%E3%83%A1%E3%83%AA%E3%83%83%E3%83%88%EF%BC%81,0,2617,0.0,6.05
https://ksrfp.com/labor-management/2904/#%E8%B3%87%E6%A0%BC%E5%96%AA%E5%A4%B1%E3%81%AE%E5%A0%B4%E5%90%88%E3%81%AE%E5%BE%B4%E5%8F%8E%E6%96%B9%E6%B3%95,1,1847,0.05,6.86
https://ksrfp.com/labor-management/2904/#%E5%9F%BA%E6%9C%AC%E3%81%AF%E7%BF%8C%E6%9C%88%E5%BE%B4%E5%8F%8E,0,1847,0.0,6.86
https://ksrfp.com/labor-management/2904/#%E8%B3%9E%E4%B8%8E%E3%81%AE%E5%A0%B4%E5%90%88,0,1847,0.0,6.86
https://ksrfp.com/labor-management/3044/,990,27130,3.65,6.93
https://ksrfp.com/pension/362/#%E4%BB%BB%E6%84%8F%E7%B6%99%E7%B6%9A%E8%A2%AB%E4%BF%9D%E9%99%BA%E8%80%85%E3%81%AB%E3%81%AA%E3%82%89%E3%81%AA%E3%81%8B%E3%81%A3%E3%81%9F%E3%82%89%EF%BC%9F,1,8177,0.01,6.93
https://ksrfp.com/pension/362/#%E5%A4%AB%E3%81%8C%E9%80%80%E8%81%B7%E3%81%97%E3%81%9F%E3%82%89%EF%BC%9F,5,8595,0.06,6.94
https://ksrfp.com/pension/362/#%E4%BB%BB%E6%84%8F%E7%B6%99%E7%B6%9A%E8%A2%AB%E4%BF%9D%E9%99%BA%E8%80%85%E3%81%A8%E3%81%AF,1,8574,0.01,6.94
https://ksrfp.com/pension/362/#%E5%85%AC%E7%9A%84%E5%B9%B4%E9%87%91%E5%88%B6%E5%BA%A6%E3%81%AE%E7%A8%AE%E9%A1%9E,0,8319,0.0,6.95
https://ksrfp.com/labor-management/2960/#%E4%BA%8B%E5%8B%99%E6%89%80%E5%8A%B4%E7%81%BD,1,1185,0.08,6.99
https://ksrfp.com/labor-management/2960/#%E5%BB%BA%E8%A8%AD%E6%A5%AD%E3%81%AF%E8%AB%8B%E8%B2%A0%E5%B7%A5%E4%BA%8B%E3%81%AE%E7%B7%8F%E9%A1%8D%E3%81%A7%E8%A8%88%E7%AE%97,0,1185,0.0,6.99
https://ksrfp.com/life-planning/362/,2630,96853,2.72,7.11
https://ksrfp.com/labor-management/4424/,210,6722,3.12,7.13
https://ksrfp.com/labor-management/3420/,839,138531,0.61,7.56
https://ksrfp.com/clinic/4587/,41,2886,1.42,7.56
https://ksrfp.com/labor-management/3044/#%E4%B8%8D%E5%88%A9%E7%9B%8A%E5%A4%89%E6%9B%B4%E3%81%AF%E6%85%8E%E9%87%8D%E3%81%AB,0,1058,0.0,7.8
https://ksrfp.com/labor-management/3044/#%E6%9C%89%E7%B5%A62%E6%97%A5%E5%88%A9%E7%94%A8%E3%81%AB%E5%A4%89%E3%81%88%E3%82%8B%E3%81%A8%E3%81%97%E3%81%9F%E6%8E%AA%E7%BD%AE%E3%81%AB%E5%95%8F%E9%A1%8C%E3%81%AF%E3%81%AA%E3%81%84%E3%81%AE%E3%81%8B%EF%BC%9F,0,1398,0.0,7.9
https://ksrfp.com/labor-management/3044/#%E5%8E%9F%E5%89%87%E3%81%AE%E6%9C%89%E7%B5%A6%E5%8F%96%E5%BE%97%E5%8D%98%E4%BD%8D%E3%81%AF%E5%8A%B4%E5%83%8D%E6%97%A5,1,1430,0.07,7.92
https://ksrfp.com/labor-management/3044/#%E4%BE%8B%E5%A4%96%E3%82%82%E3%81%82%E3%82%8B,0,1413,0.0,7.92
https://ksrfp.com/labor-management/3108/,5199,136649,3.8,7.93
https://ksrfp.com/payroll/2461/,30,4272,0.7,8.2
https://ksrfp.com/benefits/240/,738,23671,3.12,8.31
https://ksrfp.com/labor-management/3467/#%E7%9F%AD%E6%99%82%E9%96%93%E5%8A%B4%E5%83%8D%E8%80%85%E3%81%A8%E3%81%AF,0,1010,0.0,8.32
https://ksrfp.com/labor-management/3467/#%E4%BB%BB%E6%84%8F%E7%89%B9%E5%AE%9A%E9%81%A9%E7%94%A8%E4%BA%8B%E6%A5%AD%E6%89%80%E3%81%AE%E7%94%B3%E3%81%97%E5%87%BA%E3%81%A8%E3%81%AF,0,1108,0.0,8.35
https://ksrfp.com/labor-management/3467/#%E5%BE%93%E6%A5%AD%E5%93%A1%E6%95%B0%E3%81%A8%E3%81%AF,0,1108,0.0,8.35
https://ksrfp.com/life-planning/221/,30,2843,1.06,10.37
https://ksrfp.com/labor-management/2567/,423,11432,3.7,10.6
https://ksrfp.com/labor-management/3467/,104,10702,0.97,10.67
https://ksrfp.com/payroll/3524/,624,30120,2.07,11.13
https://ksrfp.com/labor-management/2920/,279,24128,1.16,11.43
https://ksrfp.com/labor-management/2578/,190,23579,0.81,12.31
https://ksrfp.com/benefits/153/,8,1254,0.64,12.33
https://ksrfp.com/labor-management/319/,60,5429,1.11,12.42
https://ksrfp.com/pension/198/,16,3572,0.45,12.88
https://ksrfp.com/labor-management/2904/,1244,41462,3.0,13.74
https://ksrfp.com/payroll/3535/,66,2785,2.37,13.91
https://ksrfp.com/labor-management/3481/,1,1235,0.08,15.01
https://ksrfp.com/labor-management/3411/,30,2384,1.26,15.55
https://ksrfp.com/labor-management/907/,77,8106,0.95,16.04
https://ksrfp.com/labor-management/2769/,5,1079,0.46,16.08
https://ksrfp.com/labor-management/2608/,112,4530,2.47,17.51
https://ksrfp.com/labor-management/288/,299,43059,0.69,17.92
https://ksrfp.com/labor-management/2498/,204,12077,1.69,18.31
https://ksrfp.com/labor-management/2913/,47,6672,0.7,19.38
