dimension,clicks,impressions,ctr_percent,position
遺族厚生年金 金額 早見表 65歳以上,8,1281,0.62,1.09
遺族年金 年収制限,1,315,0.32,1.1
遺族年金 所得制限,5,588,0.85,1.12
遺族年金 収入制限,1,378,0.26,1.17
社会保険料,61,8377,0.73,1.24
6時間勤務 休憩 15分,2,694,0.29,1.26
パート社会保険料,10,351,2.85,1.5
社保とは,11,424,2.59,1.55
教育訓練給付制度,19,498,3.82,1.65
有給休暇買い取り,6,686,0.87,1.75
有休買取,5,891,0.56,1.9
社会保険料 パート,254,5092,4.99,1.94
社会保険 いくら引かれる,15,396,3.79,2.0
遺族年金 パート収入 いくらまで,6,313,1.92,2.1
アルバイト 社会保険 いくら,2,447,0.45,2.11
社会保険と国民保険の違い,7,415,1.69,2.13
雇用保険とは,17,421,4.04,2.14
社会保険と国民保険どっちが得 パート,23,619,3.72,2.15
国民健康保険,16,383,4.18,2.17
国民保険,7,346,2.02,2.2
社会保険料とは,17,383,4.44,2.24
国民健康保険料,6,319,1.88,2.26
国保と社保の違い,12,335,3.58,2.27
厚生年金保険料,19,516,3.68,2.36
遺族年金,26,525,4.95,2.41
社会保険加入条件,79,2365,3.34,2.45
社会保険,65,1761,3.69,2.53
所定労働日数 毎月 変わる,7,868,0.81,2.57
社会保険 加入条件,11,375,2.93,2.68
遺族年金 扶養控除,10,312,3.21,2.69
有給 買取,53,11230,0.47,2.77
88000円 社会保険,23,1644,1.4,2.8
年金制度改正により、社会保険加入の拡大で年金額が増える可能性があります,30,1751,1.71,2.84
2026年4月から在職老齢年金制度が見直されます,12,846,1.42,2.95
6時間勤務 休憩なし 違法,1,735,0.14,3.04
有給買取り,4,999,0.4,3.11
夫 退職 妻の扶養に入る,1,572,0.17,3.24
遺族年金 扶養に入れる,37,760,4.87,3.44
夫 定年退職 妻の健康保険 いくら,23,1623,1.42,3.48
有給買取,25,7764,0.32,3.55
退職時 有給消化 義務,4,694,0.58,3.61
パート 社会保険料 いくら,26,1393,1.87,3.74
残業 休憩 いらない,6,561,1.07,3.81
有給買取 退職時 計算方法,8,1175,0.68,3.86
88000円 社会保険料,82,2151,3.81,3.9
有給消化 義務 退職時,9,863,1.04,4.16
教育訓練給付制度 50歳以上,26,1107,2.35,4.36
有給買い取り,1,524,0.19,4.56
88000円 社会保険料 いくら,27,792,3.41,4.59
退職時 有給買取,15,2077,0.72,4.62
退職時有給買取,5,718,0.7,4.65
神奈川県最低賃金 月給,10,550,1.82,4.67
給料88000円 社会保険料,9,406,2.22,4.74
有休 買取,1,1152,0.09,4.83
神奈川 最低賃金 月給,1,350,0.29,4.88
有給休暇買取 退職時,4,308,1.3,4.88
有給の買い取り,11,1279,0.86,4.93
パート 社会保険 いくら 引 かれる,8,657,1.22,4.95
有給 退職時 買取,2,643,0.31,5.02
有給休暇 退職時 買取,13,502,2.59,5.02
慶弔休暇 パート,34,937,3.63,5.12
有給 退職時,5,573,0.87,5.15
遺族年金 扶養,46,1357,3.39,5.16
神奈川県 最低賃金 月給,9,905,0.99,5.16
6時間勤務 残業 休憩なし,6,309,1.94,5.18
有給 夜勤の場合,5,497,1.01,5.22
月給88000円 社会保険料,7,356,1.97,5.27
ハラスメントの境界線,12,313,3.83,5.27
一斉休憩の適用除外,9,389,2.31,5.29
88000円の社会保険料,8,426,1.88,5.31
夫定年退職 妻の健康保険いくら,31,1084,2.86,5.36
有給の買い取り 退職時,2,343,0.58,5.38
有給休暇 買い取り,18,3292,0.55,5.39
遺族年金 扶養家族,11,382,2.88,5.43
扶養 遺族年金,15,532,2.82,5.57
教育訓練給付制度 年齢制限,6,347,1.73,5.6
退職時の有給買取,13,948,1.37,5.61
月168時間労働,5,742,0.67,5.62
月収88000円 社会保険料,14,685,2.04,5.65
有給の買取,5,586,0.85,5.7
雇用保険 家族,36,736,4.89,5.78
雇用保険 家族従業員,53,1672,3.17,5.89
雇用保険 親族 適用除外,11,360,3.06,5.95
有休買取 退職時,11,1242,0.89,5.98
職業訓練校 70歳以上,19,492,3.86,6.01
パート 慶弔休暇,31,744,4.17,6.03
旦那が退職したら妻の扶養はどうなる,19,1058,1.8,6.07
6時間勤務 休憩なし 残業,4,421,0.95,6.1
雇用保険 経営者,5,457,1.09,6.12
神奈川県最低賃金 正社員,19,1975,0.96,6.17
退職 有給消化 義務,12,1130,1.06,6.18
88000円 社会保険 いくらひかれる,19,1009,1.88,6.2
88000円 社会保険 いくら ひかれ る,8,725,1.1,6.2
有休 買取 退職時,9,1152,0.78,6.21
88000円 社会保険料 いくら 引 かれる,20,1484,1.35,6.23
現場労災 事務所労災 違い,19,609,3.12,6.29
88000円 社会保険料 いくら引かれる,39,1425,2.74,6.34
事務所労災,55,1206,4.56,6.34
夜勤 有給,31,938,3.3,6.36
夫が退職 妻の扶養はどうなる,87,3004,2.9,6.49
